Analyzing belive...                                             

  error - The library directive must appear before all other directives - lib\models\family_models.dart:6:1 - library_directive_not_first
  error - The method 'getAgencies' isn't defined for the type 'ApiService' - lib\providers\agency_provider.dart:33:36 - undefined_method
  error - The method 'getMyAgency' isn't defined for the type 'ApiService' - lib\providers\agency_provider.dart:49:36 - undefined_method
  error - The method 'getAgencyHosts' isn't defined for the type 'ApiService' - lib\providers\agency_provider.dart:61:36 - undefined_method
  error - The method 'getAgencyRevenue' isn't defined for the type 'ApiService' - lib\providers\agency_provider.dart:74:35 - undefined_method
  error - The method 'getAgencyWithdrawals' isn't defined for the type 'ApiService' - lib\providers\agency_provider.dart:83:36 - undefined_method
  error - The method 'createAgency' isn't defined for the type 'ApiService' - lib\providers\agency_provider.dart:100:36 - undefined_method
  error - The method 'joinAgency' isn't defined for the type 'ApiService' - lib\providers\agency_provider.dart:121:36 - undefined_method
  error - The method 'leaveAgency' isn't defined for the type 'ApiService' - lib\providers\agency_provider.dart:134:36 - undefined_method
  error - The method 'requestAgencyWithdrawal' isn't defined for the type 'ApiService' - lib\providers\agency_provider.dart:153:36 - undefined_method
  error - The method 'createUser' isn't defined for the type 'ApiService' - lib\providers\auth_provider.dart:175:36 - undefined_method
  error - The method 'checkTempBlock' isn't defined for the type 'ApiService' - lib\providers\auth_provider.dart:195:41 - undefined_method
  error - The method 'getUser' isn't defined for the type 'ApiService' - lib\providers\auth_provider.dart:232:36 - undefined_method
  error - The method 'getCallHistory' isn't defined for the type 'ApiService' - lib\providers\call_provider.dart:101:36 - undefined_method
  error - The method 'callRequest' isn't defined for the type 'ApiService' - lib\providers\call_provider.dart:119:36 - undefined_method
  error - The method 'callDisconnect' isn't defined for the type 'ApiService' - lib\providers\call_provider.dart:185:26 - undefined_method
  error - The method 'randomCall' isn't defined for the type 'ApiService' - lib\providers\call_provider.dart:220:36 - undefined_method
  error - The method 'getCallRateConfig' isn't defined for the type 'ApiService' - lib\providers\call_rate_provider.dart:31:36 - undefined_method
  error - The method 'getHostCallRate' isn't defined for the type 'ApiService' - lib\providers\call_rate_provider.dart:48:36 - undefined_method
  error - The method 'setCallRate' isn't defined for the type 'ApiService' - lib\providers\call_rate_provider.dart:64:36 - undefined_method
  error - The method 'resetCallRate' isn't defined for the type 'ApiService' - lib\providers\call_rate_provider.dart:88:36 - undefined_method
  error - The method 'chatList' isn't defined for the type 'ApiService' - lib\providers\chat_provider.dart:73:36 - undefined_method
  error - The method 'chatList' isn't defined for the type 'ApiService' - lib\providers\chat_provider.dart:97:36 - undefined_method
  error - The method 'chatList' isn't defined for the type 'ApiService' - lib\providers\chat_provider.dart:111:36 - undefined_method
  error - The method 'createChatTopic' isn't defined for the type 'ApiService' - lib\providers\chat_provider.dart:136:41 - undefined_method
  error - The method 'getOldChat' isn't defined for the type 'ApiService' - lib\providers\chat_provider.dart:161:36 - undefined_method
  error - A value of type 'double' can't be assigned to a variable of type 'int' - lib\providers\chat_provider.dart:173:17 - invalid_assignment
  error - The method 'deleteChat' isn't defined for the type 'ApiService' - lib\providers\chat_provider.dart:247:24 - undefined_method
  error - The method 'clearChat' isn't defined for the type 'ApiService' - lib\providers\chat_provider.dart:258:24 - undefined_method
  error - The method 'starMessage' isn't defined for the type 'ApiService' - lib\providers\chat_provider.dart:268:24 - undefined_method
  error - The method 'getMyCP' isn't defined for the type 'ApiService' - lib\providers\cp_provider.dart:130:36 - undefined_method
  error - The method 'getCP' isn't defined for the type 'ApiService' - lib\providers\cp_provider.dart:142:36 - undefined_method
  error - The method 'getCPRequests' isn't defined for the type 'ApiService' - lib\providers\cp_provider.dart:154:41 - undefined_method
  error - The method 'getCPRequests' isn't defined for the type 'ApiService' - lib\providers\cp_provider.dart:155:41 - undefined_method
  error - The method 'getCPTasks' isn't defined for the type 'ApiService' - lib\providers\cp_provider.dart:170:36 - undefined_method
  error - The method 'getCPRanking' isn't defined for the type 'ApiService' - lib\providers\cp_provider.dart:184:36 - undefined_method
  error - The method 'getCPLevels' isn't defined for the type 'ApiService' - lib\providers\cp_provider.dart:198:36 - undefined_method
  error - The method 'getCPMilestones' isn't defined for the type 'ApiService' - lib\providers\cp_provider.dart:211:36 - undefined_method
  error - The method 'getCPHistory' isn't defined for the type 'ApiService' - lib\providers\cp_provider.dart:225:36 - undefined_method
  error - The method 'getCPDiscover' isn't defined for the type 'ApiService' - lib\providers\cp_provider.dart:239:36 - undefined_method
  error - The method 'getCPPrivileges' isn't defined for the type 'ApiService' - lib\providers\cp_provider.dart:251:36 - undefined_method
  error - The method 'getCPRings' isn't defined for the type 'ApiService' - lib\providers\cp_provider.dart:263:36 - undefined_method
  error - The method 'equipCPRing' isn't defined for the type 'ApiService' - lib\providers\cp_provider.dart:279:36 - undefined_method
  error - The method 'sendCPRequest' isn't defined for the type 'ApiService' - lib\providers\cp_provider.dart:313:36 - undefined_method
  error - The method 'acceptCPRequest' isn't defined for the type 'ApiService' - lib\providers\cp_provider.dart:342:36 - undefined_method
  error - The method 'rejectCPRequest' isn't defined for the type 'ApiService' - lib\providers\cp_provider.dart:363:36 - undefined_method
  error - The method 'cancelCPRequest' isn't defined for the type 'ApiService' - lib\providers\cp_provider.dart:383:36 - undefined_method
  error - The method 'breakUpCP' isn't defined for the type 'ApiService' - lib\providers\cp_provider.dart:404:36 - undefined_method
  error - The method 'claimCPTask' isn't defined for the type 'ApiService' - lib\providers\cp_provider.dart:429:36 - undefined_method
  error - The method 'updateCP' isn't defined for the type 'ApiService' - lib\providers\cp_provider.dart:471:36 - undefined_method
  error - The method 'getPosts' isn't defined for the type 'ApiService' - lib\providers\feed_provider.dart:44:36 - undefined_method
  error - The method 'getPosts' isn't defined for the type 'ApiService' - lib\providers\feed_provider.dart:68:36 - undefined_method
  error - A value of type 'double' can't be assigned to a variable of type 'int' - lib\providers\feed_provider.dart:75:21 - invalid_assignment
  error - The method 'getReels' isn't defined for the type 'ApiService' - lib\providers\feed_provider.dart:98:36 - undefined_method
  error - The method 'getReels' isn't defined for the type 'ApiService' - lib\providers\feed_provider.dart:122:36 - undefined_method
  error - A value of type 'double' can't be assigned to a variable of type 'int' - lib\providers\feed_provider.dart:128:21 - invalid_assignment
  error - The method 'getMyFriends' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:126:36 - undefined_method
  error - The method 'getFriendRequests' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:138:41 - undefined_method
  error - The method 'getFriendRequests' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:139:41 - undefined_method
  error - The method 'getFriendLevels' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:154:36 - undefined_method
  error - The method 'getFriendRanking' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:169:36 - undefined_method
  error - The method 'getFriendHistory' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:185:36 - undefined_method
  error - The method 'getFriendDiscover' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:199:36 - undefined_method
  error - The method 'sendFriendRequest' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:215:36 - undefined_method
  error - The method 'acceptFriendRequest' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:243:36 - undefined_method
  error - The method 'rejectFriendRequest' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:264:36 - undefined_method
  error - The method 'cancelFriendRequest' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:284:36 - undefined_method
  error - The method 'removeFriend' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:304:36 - undefined_method
  error - The method 'getFriendPrivileges' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:321:36 - undefined_method
  error - The method 'getFriendRings' isn't defined for the type 'ApiService' - lib\providers\friend_provider.dart:333:36 - undefined_method
